"influenced","influenced_lab","influencer","influencer_lab"
"http://dbpedia.org/resource/Moulana_Hameed_Uddin_Husami_Aqil_Sahab","Moulana Hameed Uddin Husami Aqil Sahab","http://dbpedia.org/resource/Muhammad_Iqbal","Muhammad Iqbal"
"http://dbpedia.org/resource/Muhammad_Idrees_Dahiri","Muhammad Idrees Dahiri","http://dbpedia.org/resource/Muhammad_Tahir","Muhammad Tahir"
"http://dbpedia.org/resource/Boris_Groys","Boris Groys","http://dbpedia.org/resource/Walter_Benjamin","Walter Benjamin"
"http://dbpedia.org/resource/Emil_Lask","Emil Lask","http://dbpedia.org/resource/Wilhelm_Windelband","Wilhelm Windelband"
"http://dbpedia.org/resource/Moritz_Schlick","Moritz Schlick","http://dbpedia.org/resource/Wilhelm_Wundt","Wilhelm Wundt"
"http://dbpedia.org/resource/Al-Ma'arri","Al-Ma'arri","http://dbpedia.org/resource/Al-Mutanabbi","Al-Mutanabbi"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Emily_Brontë","Emily Brontë"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Emma_Goldman","Emma Goldman"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Epicurus","Epicurus"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Ernst_Bloch","Ernst Bloch"
"http://dbpedia.org/resource/Emil_Fackenheim","Emil Fackenheim","http://dbpedia.org/resource/Ernst_Bloch","Ernst Bloch"
"http://dbpedia.org/resource/Moritz_Schlick","Moritz Schlick","http://dbpedia.org/resource/Ernst_Mach","Ernst Mach"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Hans_Jonas","Hans Jonas"
"http://dbpedia.org/resource/Wilfred_Talbot_Smith","Wilfred Talbot Smith","http://dbpedia.org/resource/Aleister_Crowley","Aleister Crowley"
"http://dbpedia.org/resource/Boris_Groys","Boris Groys","http://dbpedia.org/resource/Alexandre_Kojève","Alexandre Kojève"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Alfred_North_Whitehead","Alfred North Whitehead"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","Willard Van Orman Quine","http://dbpedia.org/resource/Alfred_North_Whitehead","Alfred North Whitehead"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Alfred_North_Whitehead","Alfred North Whitehead"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Alfred_Schütz","Alfred Schütz"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","Willard Van Orman Quine","http://dbpedia.org/resource/Alfred_Tarski","Alfred Tarski"
"http://dbpedia.org/resource/Muhammad_Iqbal","Muhammad Iqbal","http://dbpedia.org/resource/Ali_Hujwiri","Ali Hujwiri"
"http://dbpedia.org/resource/Mohammad_Baba_As-Samasi","Mohammad Baba As-Samasi","http://dbpedia.org/resource/Ali_Ramitani","Ali Ramitani"
"http://dbpedia.org/resource/Moulana_Hameed_Uddin_Husami_Aqil_Sahab","Moulana Hameed Uddin Husami Aqil Sahab","http://dbpedia.org/resource/Ashraf_Ali_Thanwi","Ashraf Ali Thanwi"
"http://dbpedia.org/resource/Wilhelm_Dilthey","Wilhelm Dilthey","http://dbpedia.org/resource/August_Böckh","August Böckh"
"http://dbpedia.org/resource/Boethius","Boethius","http://dbpedia.org/resource/Augustine_of_Hippo","Augustine of Hippo"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Augustine_of_Hippo","Augustine of Hippo"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","Muhammad Farooq Khan","http://dbpedia.org/resource/Averroes","Averroes"
"http://dbpedia.org/resource/Murtada_Sharif_'Askari","Murtada Sharif 'Askari","http://dbpedia.org/resource/Avicenna","Avicenna"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","Willard Van Orman Quine","http://dbpedia.org/resource/B._F._Skinner","B. F. Skinner"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Pre-Socratic_philosophy","Pre-Socratic philosophy"
"http://dbpedia.org/resource/Boethius","Boethius","http://dbpedia.org/resource/Proclus","Proclus"
"http://dbpedia.org/resource/Epicurus","Epicurus","http://dbpedia.org/resource/Pyrrho","Pyrrho"
"http://dbpedia.org/resource/Al-Mutanabbi","Al-Mutanabbi","http://dbpedia.org/resource/Saleh","Saleh"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Samuel","Samuel"
"http://dbpedia.org/resource/Emer_de_Vattel","Emer de Vattel","http://dbpedia.org/resource/Samuel_von_Pufendorf","Samuel von Pufendorf"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Santiago_Sierra","Santiago Sierra"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Saul_Alinsky","Saul Alinsky"
"http://dbpedia.org/resource/Boethius","Boethius","http://dbpedia.org/resource/Seneca_the_Younger","Seneca the Younger"
"http://dbpedia.org/resource/Walter_Benjamin","Walter Benjamin","http://dbpedia.org/resource/Johann_Jakob_Bachofen","Johann Jakob Bachofen"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Frankfurt_School","Frankfurt School"
"http://dbpedia.org/resource/Wendy_Brown_(political_theorist)","Wendy Brown (political theorist)","http://dbpedia.org/resource/Frankfurt_School","Frankfurt School"
"http://dbpedia.org/resource/Wilfred_Stein","Wilfred Stein","http://dbpedia.org/resource/James_Danielli","James Danielli"
"http://dbpedia.org/resource/A._J._Ayer","A. J. Ayer","http://dbpedia.org/resource/Vienna_Circle","Vienna Circle"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","Willard Van Orman Quine","http://dbpedia.org/resource/Vienna_Circle","Vienna Circle"
"http://dbpedia.org/resource/Muhammad_Idrees_Dahiri","Muhammad Idrees Dahiri","http://dbpedia.org/resource/Abdul_Qadir_Gilani","Abdul Qadir Gilani"
"http://dbpedia.org/resource/Muhammad_Tahir","Muhammad Tahir","http://dbpedia.org/resource/Abu_Hanifa","Abu Hanifa"
"http://dbpedia.org/resource/Muhammad_Usman_Damani","Muhammad Usman Damani","http://dbpedia.org/resource/Abu_Hanifa","Abu Hanifa"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","Muhammad Farooq Khan","http://dbpedia.org/resource/Abul_A'la_Maududi","Abul A'la Maududi"
"http://dbpedia.org/resource/Montesquieu","Montesquieu","http://dbpedia.org/resource/Acts_of_Union_1707","Acts of Union 1707"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Adam_Smith","Adam Smith"
"http://dbpedia.org/resource/Muhammad_Idrees_Dahiri","Muhammad Idrees Dahiri","http://dbpedia.org/resource/Ahmad_Sirhindi","Ahmad Sirhindi"
"http://dbpedia.org/resource/Muhammad_Tahir","Muhammad Tahir","http://dbpedia.org/resource/Ahmad_Sirhindi","Ahmad Sirhindi"
"http://dbpedia.org/resource/Muhammad_Usman_Damani","Muhammad Usman Damani","http://dbpedia.org/resource/Ahmad_Sirhindi","Ahmad Sirhindi"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Democritus","Democritus"
"http://dbpedia.org/resource/Epicurus","Epicurus","http://dbpedia.org/resource/Democritus","Democritus"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Diogenes","Diogenes"
"http://dbpedia.org/resource/Boris_Groys","Boris Groys","http://dbpedia.org/resource/Edmund_Husserl","Edmund Husserl"
"http://dbpedia.org/resource/Wilfrid_Sellars","Wilfrid Sellars","http://dbpedia.org/resource/Edmund_Husserl","Edmund Husserl"
"http://dbpedia.org/resource/Emmanuel_Levinas","Emmanuel Levinas","http://dbpedia.org/resource/Edmund_Husserl","Edmund Husserl"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Edmund_Husserl","Edmund Husserl"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","Muhammad Farooq Khan","http://dbpedia.org/resource/Hamiduddin_Farahi","Hamiduddin Farahi"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Hannah_Arendt","Hannah Arendt"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Hans-Georg_Gadamer","Hans-Georg Gadamer"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Hans_Urs_von_Balthasar","Hans Urs von Balthasar"
"http://dbpedia.org/resource/Morris_Janowitz","Morris Janowitz","http://dbpedia.org/resource/Harold_Lasswell","Harold Lasswell"
"http://dbpedia.org/resource/Walter_Benjamin","Walter Benjamin","http://dbpedia.org/resource/Heinrich_Rickert","Heinrich Rickert"
"http://dbpedia.org/resource/Emil_Lask","Emil Lask","http://dbpedia.org/resource/Heinrich_Rickert","Heinrich Rickert"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Henri_Bergson","Henri Bergson"
"http://dbpedia.org/resource/Mortimer_J._Adler","Mortimer J. Adler","http://dbpedia.org/resource/Henri_Bergson","Henri Bergson"
"http://dbpedia.org/resource/Muhammad_Iqbal","Muhammad Iqbal","http://dbpedia.org/resource/Henri_Bergson","Henri Bergson"
"http://dbpedia.org/resource/Emmanuel_Levinas","Emmanuel Levinas","http://dbpedia.org/resource/Henri_Bergson","Henri Bergson"
"http://dbpedia.org/resource/Emmanuel_Mounier","Emmanuel Mounier","http://dbpedia.org/resource/Henri_Bergson","Henri Bergson"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Henri_Bergson","Henri Bergson"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Henri_de_Lubac","Henri de Lubac"
"http://dbpedia.org/resource/Walter_Benjamin","Walter Benjamin","http://dbpedia.org/resource/Leo_Strauss","Leo Strauss"
"http://dbpedia.org/resource/Emil_Fackenheim","Emil Fackenheim","http://dbpedia.org/resource/Leo_Strauss","Leo Strauss"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Leo_Strauss","Leo Strauss"
"http://dbpedia.org/resource/A._D._Gordon","A. D. Gordon","http://dbpedia.org/resource/Leo_Tolstoy","Leo Tolstoy"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Lev_Shestov","Lev Shestov"
"http://dbpedia.org/resource/Emmanuel_Levinas","Emmanuel Levinas","http://dbpedia.org/resource/Lev_Shestov","Lev Shestov"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Lewis_Mumford","Lewis Mumford"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Eduard_Meyer","Eduard Meyer"
"http://dbpedia.org/resource/Emer_de_Vattel","Emer de Vattel","http://dbpedia.org/resource/Hugo_Grotius","Hugo Grotius"
"http://dbpedia.org/resource/Emmanuel_Mounier","Emmanuel Mounier","http://dbpedia.org/resource/Marc_Sangnier","Marc Sangnier"
"http://dbpedia.org/resource/William_A._Earle","William A. Earle","http://dbpedia.org/resource/Platonism","Platonism"
"http://dbpedia.org/resource/Muhammad_Iqbal","Muhammad Iqbal","http://dbpedia.org/resource/Bismil_Azimabadi","Bismil Azimabadi"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Blaise_Pascal","Blaise Pascal"
"http://dbpedia.org/resource/Walter_of_Bruges","Walter of Bruges","http://dbpedia.org/resource/Bonaventure","Bonaventure"
"http://dbpedia.org/resource/A._C._Ewing","A. C. Ewing","http://dbpedia.org/resource/Brand_Blanshard","Brand Blanshard"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Georg_Simmel","Georg Simmel"
"http://dbpedia.org/resource/Boris_Groys","Boris Groys","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel","Georg Wilhelm Friedrich Hegel"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel","Georg Wilhelm Friedrich Hegel"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","Walter Kaufmann (philosopher)","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel","Georg Wilhelm Friedrich Hegel"
"http://dbpedia.org/resource/Wilhelm_Dilthey","Wilhelm Dilthey","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel","Georg Wilhelm Friedrich Hegel"
"http://dbpedia.org/resource/Wilhelm_Windelband","Wilhelm Windelband","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel","Georg Wilhelm Friedrich Hegel"
"http://dbpedia.org/resource/Emil_Fackenheim","Emil Fackenheim","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel","Georg Wilhelm Friedrich Hegel"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/George_Orwell","George Orwell"
"http://dbpedia.org/resource/Walter_Benjamin","Walter Benjamin","http://dbpedia.org/resource/Gershom_Scholem","Gershom Scholem"
"http://dbpedia.org/resource/Emil_Fackenheim","Emil Fackenheim","http://dbpedia.org/resource/Gershom_Scholem","Gershom Scholem"
"http://dbpedia.org/resource/Emma_Goldman","Emma Goldman","http://dbpedia.org/resource/Henry_David_Thoreau","Henry David Thoreau"
